post_id,account_id,post_date,impressions,reach,likes,comments,shares,platform
ME00091,ACC003,2024-04-19 04:00:00 IST,23331,31670,200,74,341,Meta
ME00092,INTERNAL02,2024-04-11 12:00:00 IST,14819,13522,1193,94,15,Meta
ME00093,ACC003,2024-03-28 03:00:00 UTC,44258,18012,1396,229,422,Meta
ME00094,ACC004,2024-06-02 13:00:00 IST,32874,35042,633,44,436,Meta
ME00095,ACC003,2024-04-14 22:00:00 UTC,5559,6659,1896,233,484,Meta
ME00096,INTERNAL02,2024-05-08 23:00:00 UTC,6752,18524,1735,79,396,Meta
ME00097,ACC001,2024-01-20 14:00:00 IST,25898,3067,1673,199,160,Meta
ME00098,ACC003,2024-02-09 21:00:00 IST,33868,36999,33,206,99,Meta
ME00099,ACC005,2024-02-03 04:00:00 IST,43077,35829,277,68,163,Meta
ME00100,ACC004,2024-03-14 21:00:00 UTC,12993,17466,621,185,495,Meta
ME00101,ACC002,2024-01-06 04:00:00 IST,45623,5887,1855,207,399,Meta
ME00102,TEST001,2024-03-16 14:00:00 IST,30371,4148,950,187,483,Meta
ME00103,ACC005,2024-06-28 22:00:00 IST,5892,4743,1370,13,226,Meta
ME00104,ACC002,2024-06-01 09:00:00 IST,2015,28533,1776,132,474,Meta
ME00105,ACC005,2024-04-24 18:00:00 UTC,16146,32430,8,195,74,Meta
ME00106,ACC003,2024-02-12 03:00:00 IST,1615,39434,330,4,84,Meta
ME00107,ACC002,2024-03-23 20:00:00 UTC,32678,14269,1987,243,392,Meta
ME00108,ACC004,2024-01-07 07:00:00 IST,13745,2550,1910,11,329,Meta
ME00109,TEST001,2024-05-05 02:00:00 UTC,31163,4923,1066,21,271,Meta
ME00110,INTERNAL02,2024-05-22 04:00:00 IST,8672,16532,1137,42,303,Meta
ME00111,ACC002,2024-02-15 20:00:00 IST,24973,35758,1644,150,67,Meta
ME00112,TEST001,2024-02-23 01:00:00 IST,3962,6053,1341,140,472,Meta
ME00113,TEST001,2024-06-23 08:00:00 UTC,31002,6878,180,56,422,Meta
ME00114,ACC004,2024-06-13 15:00:00 UTC,45394,26324,592,113,3,Meta
ME00115,ACC005,2024-06-15 00:00:00 UTC,10982,763,188,2,405,Meta
ME00116,ACC002,2024-04-21 07:00:00 IST,366,18621,244,193,475,Meta
ME00117,ACC001,2024-05-14 06:00:00 UTC,6353,37982,271,260,223,Meta
ME00118,ACC002,2024-01-05 04:00:00 UTC,18048,38766,1721,215,148,Meta
ME00119,ACC002,2024-01-24 21:00:00 IST,35247,5521,1092,92,60,Meta
ME00120,ACC004,2024-05-09 04:00:00 UTC,40309,1712,940,133,327,Meta
